datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
27-08-2021 13:43,1.17415,1.17435,1.17415,1.1743,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:42,1.174,1.17415,1.174,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:41,1.17425,1.17425,1.17395,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:40,,1.1743,,1.17425,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:39,1.1742,1.1742,1.17405,1.1741,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:38,1.1743,1.17455,1.17405,1.17435,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:37,1.17415,1.17445,1.17405,1.17445,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:36,1.17405,1.17415,1.17405,1.17415,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:35,1.1742,1.1743,,1.17405,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:34,1.17425,1.17425,1.17405,1.1742,EUR/USD,1min,Euro,US Dollar,Physical
